ZCTA5CE10,AFFGEOID10,GEOID10,ALAND10,AWATER10,group
92364,8600000US92364,92364,1332133073,0,7
85342,8600000US85342,85342,1211196240,5156056,7
80537,8600000US80537,80537,274424888,10232549,7
93962,8600000US93962,93962,316377,0,7
32344,8600000US32344,32344,1334419509,41597240,7
32446,8600000US32446,32446,421862763,6015251,7
96019,8600000US96019,96019,28334829,24257,7
83460,8600000US83460,83460,630601,0,7
61834,8600000US61834,61834,277930014,1443260,7
51243,8600000US51243,51243,139202025,36358,7
32404,8600000US32404,32404,333647019,48225891,7
03905,8600000US03905,03905,17021886,4634935,7
67879,8600000US67879,67879,2016176769,0,7
01230,8600000US01230,01230,237040441,4522477,7
49968,8600000US49968,49968,648083912,5738959,7
55977,8600000US55977,55977,64010014,0,7
67114,8600000US67114,67114,615282772,1386057,7
01945,8600000US01945,01945,11359729,8556721,7
59761,8600000US59761,59761,2229936260,4061742,7
59014,8600000US59014,59014,1069465000,2310773,7
64116,8600000US64116,64116,28114893,1926125,7
56177,8600000US56177,56177,957165,0,7
11228,8600000US11228,11228,3807130,0,7
87528,8600000US87528,87528,1986302616,6086631,7
11214,8600000US11214,11214,5658763,7472,7
07647,8600000US07647,07647,5854816,25948,7
27030,8600000US27030,27030,441621920,2754140,7
97914,8600000US97914,97914,662535590,7113558,7
03848,8600000US03848,03848,50885769,3184188,7
08302,8600000US08302,08302,370566052,12247430,7
03832,8600000US03832,03832,64559969,3496262,7
29831,8600000US29831,29831,298282928,5362033,7
37306,8600000US37306,37306,307777545,175780,7
14108,8600000US14108,14108,70163126,0,7
02841,8600000US02841,02841,1208303,2286564,7
11231,8600000US11231,11231,3683298,82512,7
27249,8600000US27249,27249,149328497,1974596,7
84515,8600000US84515,84515,824479400,7550715,7
77978,8600000US77978,77978,26992641,81912600,7
05488,8600000US05488,05488,167280132,4616852,7
22504,8600000US22504,22504,23504106,8031782,7
24934,8600000US24934,24934,170027253,140918,7
54629,8600000US54629,54629,274741441,34350193,7
16121,8600000US16121,16121,5875354,0,7
15737,8600000US15737,15737,457558,0,7
15601,8600000US15601,15601,223252836,409330,7
26807,8600000US26807,26807,455896990,924589,7
24954,8600000US24954,24954,737493070,1982804,7
98207,8600000US98207,98207,575938,210069,7
24986,8600000US24986,24986,580029185,2195135,7
35173,8600000US35173,35173,164722342,2663968,7
35541,8600000US35541,35541,173716879,21674660,7
35565,8600000US35565,35565,719579044,2152578,7
36083,8600000US36083,36083,659851871,5422824,7
53235,8600000US53235,53235,6589709,1796308,7
35033,8600000US35033,35033,196353194,8715628,7
35504,8600000US35504,35504,251123631,8111136,7
86017,8600000US86017,86017,358724618,668082,7
85629,8600000US85629,85629,596620960,0,7
85937,8600000US85937,85937,795763296,415818,7
72632,8600000US72632,72632,257086020,9222454,7
85145,8600000US85145,85145,57566201,8799,7
71921,8600000US71921,71921,512935869,23805739,7
93271,8600000US93271,93271,983227848,8666684,7
92620,8600000US92620,92620,18328847,95195,7
91801,8600000US91801,91801,11286730,0,7
91345,8600000US91345,91345,8393787,33281,7
96094,8600000US96094,96094,640773027,11236150,7
90048,8600000US90048,90048,4882698,0,7
90071,8600000US90071,90071,319156,0,7
90814,8600000US90814,90814,3508602,0,7
91752,8600000US91752,91752,39081723,542103,7
93626,8600000US93626,93626,257886501,15739370,7
80017,8600000US80017,80017,15135152,22279,7
81227,8600000US81227,81227,924706,0,7
80024,8600000US80024,80024,105884,0,7
81624,8600000US81624,81624,1445044628,4350288,7
06089,8600000US06089,06089,6946825,81405,7
33313,8600000US33313,33313,16612717,301615,7
06110,8600000US06110,06110,8639550,0,7
06023,8600000US06023,06023,2373328,5731,7
34445,8600000US34445,34445,148714,0,7
32133,8600000US32133,32133,914496,0,7
32435,8600000US32435,32435,334764300,1906748,7
33484,8600000US33484,33484,15958685,0,7
34109,8600000US34109,34109,32498461,2004232,7
30721,8600000US30721,30721,321780563,543793,7
30103,8600000US30103,30103,261586750,381790,7
30650,8600000US30650,30650,572944548,7506841,7
30474,8600000US30474,30474,361231537,4426264,7
30412,8600000US30412,30412,3957267,40282,7
30421,8600000US30421,30421,261721382,3552492,7
83639,8600000US83639,83639,613144232,3200511,7
83713,8600000US83713,83713,17431787,45569,7
83848,8600000US83848,83848,81977024,9245722,7
83321,8600000US83321,83321,225994187,457294,7
30560,8600000US30560,30560,188871213,6635783,7
62030,8600000US62030,62030,283995,0,7
60153,8600000US60153,60153,7762119,0,3
83808,8600000US83808,83808,481750416,1139767,7
83423,8600000US83423,83423,985404218,274830,7
62058,8600000US62058,62058,3092844,11321,7
60624,8600000US60624,60624,9155258,14139,1
